year,gender,avg_goals
1956,F,3
1957,F,4
1969,F,4
1970,F,5
1971,F,4
1972,F,5
1974,F,2
1975,F,4
1976,F,2
1977,F,3
1978,F,2
1979,F,3
1980,F,3
1981,F,4
1982,F,3
1983,F,3
1984,F,2
1985,F,4
1986,F,4
1987,F,3
1988,F,3
1989,F,4
1990,F,4
1991,F,5
1992,F,3
1993,F,4
1994,F,5
1995,F,4
1996,F,3
1997,F,4
1998,F,5
1999,F,5
2000,F,4
2001,F,5
2002,F,4
2003,F,4
2004,F,4
2005,F,4
2006,F,4
2007,F,4
2008,F,3
2009,F,4
2010,F,4
2011,F,4
2012,F,4
2013,F,4
2014,F,4
2015,F,3
2016,F,4
2017,F,4
2018,F,4
2019,F,4
2020,F,4
2021,F,4
2022,F,4
2023,F,3
2024,F,3
2025,F,3
1872,M,0
1873,M,6
1874,M,3
1875,M,4
1876,M,4
1877,M,3
1878,M,9
1879,M,5
1880,M,7
1881,M,5
1882,M,8
1883,M,4
1884,M,5
1885,M,5
1886,M,5
1887,M,5
1888,M,7
1889,M,5
1890,M,6
1891,M,6
1892,M,4
1893,M,7
1894,M,5
1895,M,4
1896,M,5
1897,M,5
1898,M,4
1899,M,6
1900,M,4
1901,M,4
1902,M,4
1903,M,3
1904,M,4
1905,M,3
1906,M,4
1907,M,4
1908,M,6
1909,M,5
1910,M,4
1911,M,4
1912,M,5
1913,M,4
1914,M,4
1915,M,4
1916,M,4
1917,M,5
1918,M,3
1919,M,5
1920,M,3
1921,M,3
1922,M,3
1923,M,4
1924,M,4
1925,M,3
1926,M,5
1927,M,4
1928,M,4
1929,M,5
1930,M,5
1931,M,4
1932,M,4
1933,M,4
1934,M,5
1935,M,4
1936,M,5
1937,M,4
1938,M,4
1939,M,4
1940,M,4
1941,M,4
1942,M,4
1943,M,5
1944,M,4
1945,M,5
1946,M,5
1947,M,4
1948,M,4
1949,M,4
1950,M,4
1951,M,4
1952,M,4
1953,M,4
1954,M,4
1955,M,4
1956,M,4
1957,M,4
1958,M,4
1959,M,4
1960,M,4
1961,M,4
1962,M,4
1963,M,4
1964,M,4
1965,M,3
1966,M,4
1967,M,3
1968,M,3
1969,M,3
1970,M,3
1971,M,3
1972,M,3
1973,M,3
1974,M,3
1975,M,3
1976,M,3
1977,M,3
1978,M,3
1979,M,3
1980,M,3
1981,M,3
1982,M,3
1983,M,3
1984,M,3
1985,M,2
1986,M,2
1987,M,2
1988,M,2
1989,M,2
1990,M,2
1991,M,3
1992,M,3
1993,M,3
1994,M,3
1995,M,3
1996,M,3
1997,M,3
1998,M,3
1999,M,3
2000,M,3
2001,M,3
2002,M,3
2003,M,3
2004,M,3
2005,M,3
2006,M,3
2007,M,3
2008,M,3
2009,M,3
2010,M,3
2011,M,3
2012,M,3
2013,M,3
2014,M,3
2015,M,3
2016,M,3
2017,M,3
2018,M,3
2019,M,3
2020,M,2
2021,M,3
2022,M,3
2023,M,3
2024,M,3
2025,M,3
