year,men_matches,women_matches,avg_men_goals,avg_women_goals,p_value
1971,408,11,3.2450980392156863,3.5454545454545454,0.22331989391444262
1975,397,13,3.042821158690176,3.923076923076923,0.06894461286616635
1977,454,13,2.8105726872246697,2.769230769230769,0.8100559203488407
1979,444,21,3.0855855855855854,2.761904761904762,0.7641401014733341
1981,500,32,2.826,3.59375,0.7239904911419409
1982,420,24,2.6023809523809525,3.0,0.3068411392447664
1983,464,54,2.6314655172413794,3.462962962962963,0.01853650459524338
1984,542,20,2.588560885608856,2.15,0.413088732604327
1985,601,35,2.492512479201331,3.6285714285714286,0.0016257009896414635
1986,429,48,2.473193473193473,3.625,0.003598164684082252
1987,395,36,2.4329113924050634,2.6944444444444446,0.4398564116866549
1988,541,78,2.2181146025878005,2.7564102564102564,0.065641523780655
1989,623,42,2.34991974317817,3.857142857142857,0.0002667680403788203
1990,482,58,2.367219917012448,3.5344827586206895,0.007112295354163725
1991,508,92,2.6181102362204722,4.75,1.065664615384711e-07
1992,600,40,2.595,3.0,0.27177782150522434
1993,795,54,2.880503144654088,4.462962962962963,0.0007419240924554233
1994,608,96,2.7039473684210527,4.645833333333333,1.8004236724438519e-09
1995,669,141,2.8385650224215246,4.425531914893617,7.498933475902052e-07
1996,837,119,2.847072879330944,3.453781512605042,0.00034324688693455766
1997,907,69,2.8875413450937155,3.9130434782608696,0.23416071310871645
1998,761,135,2.923784494086728,5.451851851851852,9.703947265261588e-14
1999,776,159,2.8440721649484537,4.572327044025157,2.4974728243699714e-12
2000,1040,158,2.8278846153846153,3.949367088607595,2.503013810599081e-09
2001,1031,105,3.046556741028128,5.0095238095238095,4.6844955891435264e-08
2002,768,138,2.6197916666666665,3.601449275362319,1.4925625452976566e-06
2003,947,265,2.908130939809926,4.449056603773585,5.566417058780561e-13
2004,1079,217,2.912882298424467,4.023041474654378,2.622369009857924e-07
2005,804,107,2.794776119402985,3.7570093457943927,5.22286500227105e-05
2006,842,248,2.7078384798099764,3.963709677419355,1.0635679240624578e-11
2007,988,320,2.7398785425101213,4.190625,7.630143832846177e-18
2008,1101,264,2.7129881925522255,3.4166666666666665,2.2479497304070282e-05
2009,925,193,2.67027027027027,4.103626943005182,1.3238620254848983e-08
2010,860,399,2.5860465116279068,3.8671679197994986,5.533463206121446e-17
2011,1115,374,2.7730941704035876,3.5240641711229945,4.27725122410524e-07
2012,1017,313,2.8171091445427727,3.779552715654952,3.197597183275482e-10
2013,954,269,2.6834381551362685,3.6951672862453533,5.883413240577355e-07
2014,848,392,2.661556603773585,4.130102040816326,1.3222735970194165e-18
2015,1039,418,2.726660250240616,3.4832535885167464,4.194604185377065e-06
2016,919,368,2.766050054406964,3.5652173913043477,1.6995476711339266e-05
2017,924,377,2.7175324675324677,3.509283819628647,3.2093588257533183e-07
2018,929,551,2.6329386437029063,3.7749546279491835,3.1371945225246057e-15
2019,1147,568,2.8892763731473408,3.660211267605634,8.65093092706129e-09
2020,347,220,2.440922190201729,3.6045454545454545,2.5754232808933152e-08
2021,1115,427,2.758744394618834,3.9320843091334896,1.9336245605984735e-11
2022,969,611,2.5149638802889576,3.600654664484452,1.7937631563846945e-16
2023,1054,734,2.849146110056926,3.3841961852861036,6.462569626858944e-05
2024,1169,578,2.6484174508126603,3.2145328719723185,2.256774339082099e-06
2025,348,337,2.7097701149425286,3.0237388724035608,0.02935628514116793
